Date,Scenario,Count
2026-01-28,other,27
2026-01-28,research,21
2026-01-28,business_automation,17
2026-01-29,research,23
2026-01-29,other,21
2026-01-29,education,19
2026-01-30,other,23
2026-01-30,productivity,23
2026-01-30,research,18
2026-01-31,other,31
2026-01-31,research,21
2026-01-31,productivity,21
2026-02-01,other,32
2026-02-01,productivity,20
2026-02-01,research,17
2026-02-02,other,35
2026-02-02,business_automation,17
2026-02-02,education,14
2026-02-03,research,28
2026-02-03,other,27
2026-02-03,education,16
2026-02-04,other,35
2026-02-04,business_automation,19
2026-02-04,research,15
2026-02-05,business_automation,24
2026-02-05,other,21
2026-02-05,productivity,14
2026-02-06,other,33
2026-02-06,business_automation,16
2026-02-06,research,15
